Daily data from Defra on 03/07/2026 18:07:31
Site Name,London Bloomsbury
Site Type,Urban Background
Region,Greater London
Latitude,51.52229
Longitude,-0.125889
Notes:,[1] All Data GMT hour ending;  [2] Some shorthand is used V = Verified P = Provisionally Verified N = Not Verified S = Suspect [3] Unit of measurement (for pollutants) = ugm-3
Date,Nitrogen dioxide,Status,Ozone,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Sulphur dioxide,Status
2024-01-01,14.130027916666666666666666667,V,58.799698333333333333333333333,V,no data,V,no data,V,1.06409625,V
2024-01-02,15.31118625,V,67.37427875,V,no data,V,no data,V,1.0529441666666666666666666667,V
2024-01-03,20.68530625,V,57.878765416666666666666666667,V,10.95625,V,5.9267916666666666666666666667,V,0.9269516666666666666666666667,V
2024-01-04,26.294858333333333333333333333,V,46.145020416666666666666666667,V,10.770833333333333333333333333,V,5.620125,V,0.9285858333333333333333333333,V
2024-01-05,29.6013275,V,32.04623,V,9.079166666666666666666666667,V,6.5802083333333333333333333333,V,0.9320441666666666666666666667,V
2024-01-06,27.0773275,V,29.903624583333333333333333333,V,7.6177083333333333333333333333,V,5.3301666666666666666666666667,V,0.9970865217391304347826086957,V
2024-01-07,21.180707083333333333333333333,V,53.181941666666666666666666667,V,8.955208333333333333333333333,V,4.7591666666666666666666666667,V,0.5992570833333333333333333333,V
2024-01-08,22.892009166666666666666666667,V,48.4054275,V,10.022916666666666666666666667,V,5.095375,V,0.5736404166666666666666666667,V
2024-01-09,23.484091666666666666666666667,V,47.59398125,V,15.586458333333333333333333333,V,7.5099166666666666666666666667,V,0.8457204166666666666666666667,V
2024-01-10,28.987750909090909090909090909,V,43.154935416666666666666666667,V,14.944791666666666666666666667,V,6.09075,V,0.9777861904761904761904761905,V
2024-01-11,37.403378333333333333333333333,V,27.427017083333333333333333333,V,13.517708333333333333333333333,V,8.134791666666666666666666667,V,0.6137179166666666666666666667,V
2024-01-12,25.94699375,V,44.798615,V,11.794791666666666666666666667,V,6.879,V,0.3069908333333333333333333333,V
2024-01-13,31.25760625,V,36.86224375,V,18.330208333333333333333333333,V,15.207291666666666666666666667,V,1.1829183333333333333333333333,V
2024-01-14,32.061038333333333333333333333,V,35.404965416666666666666666667,V,13.510416666666666666666666667,V,10.656458333333333333333333333,V,0.8488195833333333333333333333,V
